validity_metric,nlp_metric,r,p,model
htc,std,-0.1574958408216165,0.09722703840596546,sentence_roberta
htc,min,0.27109452381342536,0.0038382862197191216,sentence_roberta
htc,max,0.16044308281012554,0.09104945570666165,sentence_roberta
htd,mean,0.09431135092533921,0.3226107124844942,sentence_roberta
htd,median,0.09832798999700829,0.3023375326461225,sentence_roberta
htd,std,0.024142253272970843,0.8005246755311443,sentence_roberta
htd,min,0.04604247589861579,0.6297653414038134,sentence_roberta
htd,max,0.1359486258254104,0.1529326058455808,sentence_roberta
alpha,mean,0.3400856087970547,0.00024375613662735245,sentence_t5
alpha,median,0.3303579336287403,0.0003745753456650701,sentence_t5
alpha,std,-0.10909861443363894,0.2521842411626713,sentence_t5
alpha,min,0.24423986858597624,0.009452951370132174,sentence_t5
alpha,max,0.40141953725012963,1.1517705221682554e-05,sentence_t5
psa,mean,0.3602939895012717,9.535739146397936e-05,sentence_t5
psa,median,0.3387670662064137,0.0002585866943629213,sentence_t5
psa,std,-0.22332855171068888,0.017935376804276433,sentence_t5
psa,min,0.3556144615577614,0.00011917659663399495,sentence_t5
psa,max,0.25407708687308045,0.006866599288523762,sentence_t5
csv,mean,0.3591699918337412,0.00010063543586298717,sentence_t5
csv,median,0.33802931907217315,0.000267244373790611,sentence_t5
csv,std,-0.22498064352184147,0.017082810388086882,sentence_t5
csv,min,0.35507466663121323,0.0001222545735188915,sentence_t5
csv,max,0.2523063464967711,0.007279726623696057,sentence_t5
htc,mean,0.43041062466249136,2.172491915230879e-06,sentence_t5
htc,median,0.421182141055569,3.7573881322563833e-06,sentence_t5
htc,std,-0.2408720395228609,0.010517397039811605,sentence_t5
htc,min,0.4110723350520007,6.723607946268771e-06,sentence_t5
htc,max,0.26343055066353305,0.005010472478823697,sentence_t5
htd,mean,0.13845419128245207,0.14543545677763017,sentence_t5
htd,median,0.12489866712605904,0.18947995734155532,sentence_t5
htd,std,-0.13863722092919056,0.14489887338390714,sentence_t5
htd,min,0.14698632940205061,0.1219793283263355,sentence_t5
htd,max,0.08908505613015848,0.35026785802962734,sentence_t5
alpha,mean,-0.238334442523255,0.011387528208268155,task_nli_deberta_contradiction
alpha,median,-0.1537309235370405,0.1055938874933878,task_nli_deberta_contradiction
alpha,std,-0.2063329064090185,0.029060186754113388,task_nli_deberta_contradiction
alpha,min,-0.12665908000240428,0.18326718538685544,task_nli_deberta_contradiction
alpha,max,-0.21006902426246093,0.026209809886023273,task_nli_deberta_contradiction
psa,mean,-0.12223992734996628,0.19915106787789108,task_nli_deberta_contradiction
psa,median,-0.12813020283892212,0.17819063148215947,task_nli_deberta_contradiction
psa,std,-0.21099544103296658,0.025541090734969456,task_nli_deberta_contradiction
psa,min,0.08334193582329387,0.3823172903490836,task_nli_deberta_contradiction
psa,max,-0.22885254496515872,0.015220913353620689,task_nli_deberta_contradiction
csv,mean,-0.12268994976676809,0.19748958484328238,task_nli_deberta_contradiction
csv,median,-0.12762766865214117,0.17991303745843132,task_nli_deberta_contradiction
csv,std,-0.21376808736770678,0.023626017232704452,task_nli_deberta_contradiction
csv,min,0.08708330072789508,0.3612424992533254,task_nli_deberta_contradiction
csv,max,-0.2296979804150155,0.014838658659378522,task_nli_deberta_contradiction
htc,mean,-0.37482096241340257,4.667135288513722e-05,task_nli_deberta_contradiction
htc,median,-0.2824093578945434,0.0025539747038026777,task_nli_deberta_contradiction
htc,std,-0.4839389433172236,6.456968062073631e-08,task_nli_deberta_contradiction
htc,min,0.04762103725212115,0.6180591507092819,task_nli_deberta_contradiction
htc,max,-0.4655895711157221,2.306801140677362e-07,task_nli_deberta_contradiction
htd,mean,0.04805618773135481,0.6148487694246243,task_nli_deberta_contradiction
htd,median,-0.004277766972888808,0.9642954573146173,task_nli_deberta_contradiction
htd,std,-0.04067902265056523,0.6702149294607509,task_nli_deberta_contradiction
htd,min,0.14683843786981474,0.12235941465973481,task_nli_deberta_contradiction
htd,max,-0.05996262873442716,0.5299834734413671,task_nli_deberta_contradiction
alpha,mean,0.3796870644634118,3.6455508559640224e-05,task_nli_deberta_entailment
alpha,median,0.37055478683962717,5.7772009021257166e-05,task_nli_deberta_entailment
alpha,std,0.00581721176206557,0.9514599987713117,task_nli_deberta_entailment
alpha,min,0.2347791329375029,0.012712383509489108,task_nli_deberta_entailment
alpha,max,0.37056802915302034,5.773402385801413e-05,task_nli_deberta_entailment
psa,mean,0.4092596129235031,7.448279664184358e-06,task_nli_deberta_entailment
psa,median,0.42557832430152237,2.9001361224720904e-06,task_nli_deberta_entailment
psa,std,-0.13931481205054597,0.142925411261208,task_nli_deberta_entailment
psa,min,0.3412678741337418,0.00023113153388489724,task_nli_deberta_entailment
psa,max,0.18455080719322425,0.05141997165910805,task_nli_deberta_entailment
csv,mean,0.40630897611848676,8.7874692814129e-06,task_nli_deberta_entailment
csv,median,0.42354051051355257,3.2715102769916612e-06,task_nli_deberta_entailment
csv,std,-0.14094122732912384,0.1382716164359764,task_nli_deberta_entailment
csv,min,0.3397996343654842,0.00024690421160444896,task_nli_deberta_entailment
csv,max,0.18111540683415295,0.05599442322920119,task_nli_deberta_entailment
htc,mean,0.42773121849262374,2.5513032787750007e-06,task_nli_deberta_entailment
htc,median,0.4732765811260533,1.3654651140213973e-07,task_nli_deberta_entailment
htc,std,-0.22926155059629505,0.01503493101975068,task_nli_deberta_entailment
htc,min,0.3493281119191165,0.0001599321981821939,task_nli_deberta_entailment
